,base1,pop_minus,pop_plus,ust,distpair,distpair_ust,reversible,county25,county50,county75,county100
FL_congress,0.0,0.01,0.0,-0.11,-0.18,-0.29,-0.83,0.42,0.59,0.56,0.55
FL_upper,0.02,-0.01,0.02,-0.02,-0.09,-0.14,-0.57,0.07,0.04,0.05,0.1
FL_lower,0.01,0.03,0.03,-0.0,0.01,-0.06,1.69,-0.12,-0.21,-0.09,0.07
IL_congress,0.0,-0.01,-0.0,0.01,0.03,0.04,-0.05,-0.06,-0.23,-0.23,-0.21
IL_upper,-0.01,-0.03,0.04,0.1,-0.01,0.09,0.37,-0.03,0.0,-0.07,-0.15
IL_lower,0.01,0.03,0.0,0.08,-0.05,0.01,-0.67,-0.14,-0.14,-0.22,-0.35
MI_congress,-0.0,0.0,0.0,0.06,0.05,0.09,0.24,-0.04,-0.16,-0.26,-0.27
MI_upper,-0.01,-0.0,-0.03,0.03,0.07,0.18,0.03,0.01,0.11,0.13,0.14
MI_lower,-0.03,-0.02,0.01,-0.06,0.03,0.04,0.27,0.23,0.46,0.53,0.48
NC_congress,0.01,0.01,-0.0,-0.05,-0.03,-0.08,0.42,-0.04,-0.07,-0.08,-0.09
NC_upper,0.02,0.05,-0.0,0.05,0.08,0.09,0.63,0.26,0.41,0.35,0.34
NC_lower,0.02,0.0,-0.01,-0.04,-0.05,-0.04,0.46,0.29,0.66,0.75,0.74
NY_congress,0.01,0.0,0.01,0.01,0.11,0.13,-0.14,-0.06,-0.16,-0.16,-0.13
NY_upper,0.02,0.03,0.02,0.01,0.05,0.08,-0.15,0.23,0.39,0.39,0.38
NY_lower,-0.01,0.08,-0.04,0.24,0.28,0.56,1.93,-0.03,-0.04,0.1,0.47
OH_congress,0.01,0.01,0.02,-0.11,-0.04,-0.17,0.3,0.0,-0.0,-0.01,-0.0
OH_upper,-0.0,0.01,0.0,-0.05,-0.02,-0.1,-0.5,-0.05,-0.09,-0.06,-0.05
OH_lower,0.01,0.02,-0.03,-0.11,-0.16,-0.23,1.1,0.03,-0.02,0.05,0.05
WI_congress,-0.0,-0.01,-0.01,0.03,0.06,0.11,0.06,-0.15,-0.32,-0.34,-0.34
WI_upper,-0.0,-0.0,0.01,-0.03,-0.08,-0.18,0.13,0.0,-0.18,-0.27,-0.28
WI_lower,0.03,0.09,-0.01,-0.09,-0.23,-0.34,-0.01,0.09,0.35,0.62,0.69
