,base1,pop_minus,pop_plus,distpair,ust,distpair_ust,reversible,county25,county50,county75,county100
FL congress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL upper,-0.0,-0.0,0.0,0.0,-0.0,0.0,*0.03,-0.0,0.0,0.0,-0.0
FL lower,-0.0,-0.01,0.01,*-0.17,*-0.1,*-0.28,*-0.37,*-0.05,*-0.13,*-0.17,*-0.17
IL congress,-0.0,-0.01,-0.01,*-0.03,*-0.02,*-0.03,*-0.04,0.0,*0.04,*0.05,*0.05
IL upper,-0.0,-0.02,0.01,*-0.12,*-0.04,*-0.17,*-0.33,*0.06,*0.12,*0.15,*0.15
IL lower,0.01,-0.03,0.0,*-0.11,*-0.05,*-0.15,*0.34,*0.08,*0.21,*0.34,*0.4
MI congress,-0.01,-0.01,-0.01,*-0.03,-0.01,*-0.05,*0.05,0.0,*0.07,*0.1,*0.11
MI upper,-0.01,-0.0,-0.0,*-0.08,*-0.06,*-0.13,*0.13,*-0.03,*-0.07,*-0.06,*-0.06
MI lower,0.01,-0.0,0.0,*-0.06,-0.01,*-0.05,*-0.55,*-0.07,*-0.14,*-0.15,*-0.17
NC congress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC upper,0.01,0.02,0.01,*-0.08,*-0.04,*-0.13,*-0.45,*0.06,*0.13,*0.15,*0.15
NC lower,0.0,0.02,0.03,*-0.2,*-0.12,*-0.36,*0.25,*0.06,*0.13,*0.17,*0.17
NY congress,0.0,0.0,0.0,-0.02,*-0.04,*-0.07,*-0.08,*0.06,*0.13,*0.14,*0.14
NY upper,-0.01,-0.01,-0.02,*-0.12,*-0.08,*-0.2,*0.19,*0.09,*0.31,*0.4,*0.4
NY lower,-0.01,-0.01,-0.01,*-0.18,*-0.12,*-0.28,-0.02,*0.05,*0.08,*0.12,*0.25
OH congress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH upper,0.0,0.0,0.0,*-0.04,-0.0,*-0.06,*-0.12,-0.0,0.0,0.01,0.01
OH lower,0.01,0.01,0.01,*-0.25,*-0.2,*-0.44,*-0.43,-0.02,-0.03,*-0.06,*-0.06
WI congress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI upper,0.0,-0.0,0.0,*0.03,*0.02,*0.02,*0.03,*0.04,*0.11,*0.13,*0.14
WI lower,-0.01,-0.01,-0.01,*-0.07,*-0.05,*-0.1,*0.13,*0.12,*0.27,*0.35,*0.4
AVERAGE,-0.0,-0.0,0.0,-0.07,-0.04,-0.12,-0.06,0.02,0.06,0.08,0.09
