,base1,pop_minus,pop_plus,ust,distpair,distpair_ust,reversible,county25,county50,county75,county100
FL_congress,0.01,0.02,0.01,-0.05,-0.03,-0.09,-0.31,0.05,0.14,0.14,0.14
FL_upper,-0.01,-0.04,0.01,0.0,0.02,0.01,-0.12,0.19,0.51,0.55,0.54
FL_lower,0.03,0.07,0.03,0.01,-0.0,-0.03,-1.59,0.15,0.22,0.24,0.29
IL_congress,0.01,0.0,0.02,0.07,0.02,0.05,0.05,0.04,0.13,0.13,0.14
IL_upper,0.0,0.01,-0.01,0.06,0.11,0.16,0.66,0.03,0.06,0.04,0.04
IL_lower,-0.0,0.02,-0.0,0.04,0.07,0.1,0.27,0.18,0.32,0.3,0.26
MI_congress,0.0,0.01,0.0,-0.0,-0.0,-0.01,0.02,0.02,0.03,0.02,0.03
MI_upper,-0.0,-0.01,0.0,0.0,-0.0,-0.0,-0.14,-0.03,-0.08,-0.1,-0.1
MI_lower,0.01,0.02,0.01,-0.02,-0.02,-0.05,-0.33,-0.04,-0.08,-0.08,-0.09
NC_congress,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
NC_upper,-0.01,-0.02,-0.01,-0.05,-0.07,-0.14,0.14,0.14,0.31,0.42,0.42
NC_lower,0.03,-0.02,0.04,-0.06,-0.12,-0.21,-0.18,0.15,0.2,0.21,0.24
NY_congress,-0.0,0.0,-0.0,0.01,0.08,0.11,0.03,-0.53,-1.04,-1.06,-1.07
NY_upper,0.02,0.01,0.0,0.08,0.17,0.25,0.1,-0.41,-0.89,-1.07,-1.13
NY_lower,0.03,0.03,0.04,-0.1,0.01,-0.09,-1.2,-0.31,-0.59,-0.7,-0.99
OH_congress,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
OH_upper,-0.01,-0.01,0.0,-0.03,-0.02,-0.03,-0.06,0.01,0.01,0.02,0.02
OH_lower,-0.0,0.0,-0.01,-0.01,0.01,-0.02,-0.02,-0.0,0.01,0.03,0.02
WI_congress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI_upper,0.0,0.0,0.0,-0.01,0.01,0.01,-0.03,0.01,0.01,0.01,0.0
WI_lower,0.02,0.0,0.01,0.04,0.05,0.08,0.24,0.02,0.01,0.0,0.02
