,base1,pop_minus,pop_plus,ust,distpair,distpair_ust,reversible,county25,county50,county75,county100
FL_congress,-0.0,0.0,0.0,-0.02,-0.07,-0.1,0.14,0.02,0.04,0.04,0.04
FL_upper,0.01,0.01,0.02,-0.03,-0.11,-0.16,-0.09,-0.13,-0.29,-0.33,-0.36
FL_lower,-0.0,-0.04,-0.01,-0.04,-0.07,-0.09,0.08,-0.09,-0.11,-0.03,-0.05
IL_congress,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
IL_upper,-0.01,-0.01,-0.01,-0.03,-0.05,-0.07,-0.18,-0.01,-0.01,0.0,-0.0
IL_lower,-0.01,-0.0,-0.01,-0.03,-0.07,-0.12,0.28,0.02,0.01,0.0,-0.01
MI_congress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI_lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_congress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_congress,0.0,0.01,0.0,-0.02,-0.05,-0.08,0.4,0.13,0.23,0.23,0.23
NY_upper,-0.01,-0.0,0.02,-0.08,-0.13,-0.22,-0.34,0.03,-0.0,0.05,0.09
NY_lower,0.01,-0.02,0.01,-0.03,-0.13,-0.18,-0.81,0.03,-0.04,-0.07,-0.04
OH_congress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH_lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI_congress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI_lower,-0.0,0.0,-0.0,-0.05,-0.06,-0.1,-0.43,0.0,-0.01,-0.01,0.01
