,base1,pop_minus,pop_plus,distpair,ust,distpair_ust,reversible,county25,county50,county75,county100
FL congress,0.0,0.0,0.0,*-0.02,*-0.02,*-0.04,*-0.02,*0.03,*0.07,*0.08,*0.08
FL upper,0.0,*-0.0,*0.0,*-0.02,*-0.02,*-0.04,*-0.02,*0.03,*0.07,*0.08,*0.09
FL lower,-0.0,*-0.0,*0.0,*-0.02,*-0.01,*-0.03,*-0.02,*0.02,*0.04,*0.05,*0.06
IL congress,0.0,-0.0,0.0,*-0.01,*-0.02,*-0.04,*-0.02,*0.02,*0.07,*0.09,*0.09
IL upper,0.0,-0.0,*0.0,*-0.02,*-0.02,*-0.04,*-0.02,*0.02,*0.05,*0.07,*0.07
IL lower,-0.0,*-0.0,*0.0,*-0.02,*-0.02,*-0.04,*-0.02,*0.01,*0.04,*0.06,*0.06
MI congress,0.0,0.0,0.0,*-0.02,*-0.03,*-0.05,*-0.02,*0.03,*0.09,*0.13,*0.13
MI upper,-0.0,*-0.0,*0.0,*-0.02,*-0.02,*-0.05,*-0.02,*0.03,*0.08,*0.1,*0.11
MI lower,0.0,*-0.0,*0.0,*-0.02,*-0.02,*-0.04,*-0.02,*0.02,*0.05,*0.07,*0.07
NC congress,0.0,-0.0,-0.0,*-0.01,*-0.02,*-0.03,*-0.02,*0.03,*0.09,*0.11,*0.12
NC upper,0.0,-0.0,*0.0,*-0.02,*-0.01,*-0.03,*-0.01,*0.03,*0.09,*0.11,*0.11
NC lower,0.0,*-0.0,0.0,*-0.02,*-0.01,*-0.03,*-0.01,*0.02,*0.06,*0.07,*0.08
NY congress,0.0,-0.0,0.0,*-0.02,*-0.02,*-0.04,*-0.02,*0.03,*0.07,*0.09,*0.09
NY upper,0.0,*-0.0,0.0,*-0.02,*-0.02,*-0.04,*-0.02,*0.02,*0.06,*0.07,*0.07
NY lower,0.0,*-0.0,*0.0,*-0.02,*-0.02,*-0.04,*-0.02,*0.02,*0.04,*0.05,*0.05
OH congress,0.0,0.0,0.0,*-0.02,*-0.03,*-0.04,*-0.03,*0.03,*0.1,*0.13,*0.13
OH upper,0.0,0.0,0.0,*-0.02,*-0.02,*-0.04,*-0.03,*0.03,*0.1,*0.13,*0.13
OH lower,-0.0,*-0.0,0.0,*-0.02,*-0.02,*-0.04,*-0.02,*0.02,*0.06,*0.08,*0.09
WI congress,-0.0,0.0,-0.0,*-0.01,*-0.03,*-0.04,*-0.03,*0.03,*0.1,*0.13,*0.13
WI upper,0.0,-0.0,0.0,*-0.02,*-0.02,*-0.04,*-0.02,*0.03,*0.09,*0.12,*0.13
WI lower,0.0,-0.0,*0.0,*-0.02,*-0.02,*-0.04,*-0.02,*0.02,*0.06,*0.08,*0.08
AVERAGE,0.0,0.0,0.0,-0.02,-0.02,-0.04,-0.02,0.02,0.07,0.09,0.09
