,base1,pop_minus,pop_plus,ust,distpair,distpair_ust,reversible,county25,county50,county75,county100
FL_congress,0.0,-0.0,-0.0,-0.01,-0.02,-0.03,-0.02,0.01,0.02,0.02,0.02
FL_upper,0.0,0.0,0.0,-0.01,-0.01,-0.02,-0.01,0.01,0.02,0.02,0.02
FL_lower,-0.0,-0.0,0.0,-0.01,-0.01,-0.02,-0.01,0.01,0.01,0.01,0.01
IL_congress,0.0,0.0,0.0,-0.01,-0.01,-0.02,-0.01,0.0,0.01,0.01,0.01
IL_upper,0.0,0.0,-0.0,-0.01,-0.01,-0.03,-0.01,0.0,0.01,0.01,0.01
IL_lower,0.0,0.0,-0.0,-0.01,-0.01,-0.03,-0.02,0.0,0.01,0.01,0.01
MI_congress,-0.0,0.0,-0.0,-0.01,-0.01,-0.02,-0.01,0.01,0.01,0.02,0.02
MI_upper,-0.0,-0.0,0.0,-0.01,-0.01,-0.03,-0.01,0.01,0.01,0.02,0.02
MI_lower,0.0,0.0,-0.0,-0.01,-0.01,-0.02,-0.01,0.01,0.01,0.02,0.02
NC_congress,0.0,-0.0,-0.0,-0.02,-0.01,-0.03,-0.01,0.0,0.01,0.01,0.01
NC_upper,0.0,0.0,-0.0,-0.01,-0.01,-0.03,-0.01,0.01,0.02,0.03,0.03
NC_lower,0.0,0.0,-0.0,-0.01,-0.01,-0.02,-0.01,0.01,0.02,0.02,0.02
NY_congress,-0.0,0.0,-0.0,-0.01,-0.01,-0.03,-0.01,0.01,0.03,0.03,0.03
NY_upper,-0.0,0.0,-0.0,-0.01,-0.01,-0.03,-0.01,0.01,0.02,0.02,0.02
NY_lower,-0.0,0.0,-0.0,-0.01,-0.01,-0.03,-0.01,0.0,0.01,0.01,0.01
OH_congress,0.0,0.0,-0.0,-0.01,-0.01,-0.02,-0.02,-0.0,0.01,0.01,0.01
OH_upper,0.0,0.0,-0.0,-0.01,-0.01,-0.03,-0.02,0.01,0.02,0.02,0.02
OH_lower,-0.0,0.0,-0.0,-0.01,-0.02,-0.03,-0.02,0.01,0.02,0.02,0.02
WI_congress,0.0,0.0,0.0,-0.01,-0.01,-0.01,-0.01,-0.0,0.01,0.01,0.01
WI_upper,-0.0,0.0,-0.0,-0.01,-0.01,-0.02,-0.01,0.0,0.01,0.02,0.02
WI_lower,0.0,0.0,-0.0,-0.01,-0.01,-0.02,-0.01,0.01,0.02,0.02,0.02
