,base1,pop_minus,pop_plus,ust,distpair,distpair_ust,reversible,county25,county50,county75,county100
FL_congress,-0.02,-0.04,-0.01,0.3,0.46,0.88,0.38,-0.03,-0.09,-0.11,-0.1
FL_upper,-0.02,-0.02,-0.06,0.05,0.03,0.16,-0.18,-0.14,-0.31,-0.37,-0.43
FL_lower,0.05,0.09,-0.0,0.14,0.11,0.19,0.12,0.45,0.39,0.28,0.44
IL_congress,-0.0,-0.02,-0.01,0.02,0.04,0.06,0.15,-0.16,0.01,0.06,0.05
IL_upper,-0.04,-0.12,0.1,0.07,0.08,0.21,-0.1,-0.07,0.13,0.26,0.37
IL_lower,0.0,-0.02,0.05,0.1,0.25,0.34,0.71,0.23,0.78,1.43,1.65
MI_congress,0.0,-0.01,-0.0,-0.06,-0.07,-0.15,-0.02,0.01,0.07,0.12,0.1
MI_upper,-0.02,0.03,-0.04,0.01,0.35,0.43,1.02,-0.1,-0.08,-0.07,-0.06
MI_lower,0.02,-0.02,-0.03,-0.07,-0.08,-0.08,-0.19,0.34,0.63,0.76,0.76
NC_congress,-0.01,0.0,0.01,0.05,-0.01,0.04,-0.2,0.0,-0.08,-0.14,-0.16
NC_upper,0.02,0.0,-0.01,0.22,0.26,0.52,2.28,-0.21,-0.53,-0.61,-0.66
NC_lower,-0.06,0.04,0.03,0.19,0.3,0.45,-1.76,0.05,-0.09,-0.38,-0.44
NY_congress,0.01,0.02,-0.02,-0.25,0.02,-0.21,-0.53,-0.09,-0.16,-0.22,-0.23
NY_upper,0.01,0.0,0.01,0.18,0.06,0.28,1.52,-0.11,0.02,0.06,0.04
NY_lower,0.02,-0.08,0.04,0.19,0.21,0.46,1.23,-0.42,-0.61,-0.83,-1.57
OH_congress,-0.01,-0.01,-0.0,-0.04,-0.02,-0.1,-0.75,-0.25,-0.67,-0.75,-0.76
OH_upper,0.01,-0.02,0.03,0.09,0.17,0.23,-0.05,-0.38,-0.62,-0.69,-0.69
OH_lower,-0.01,0.01,-0.03,-0.12,-0.05,-0.07,-0.86,0.3,0.83,1.23,1.25
WI_congress,-0.0,0.01,-0.0,0.01,0.04,0.02,0.03,-0.04,-0.01,-0.03,-0.03
WI_upper,-0.01,-0.0,-0.01,-0.06,-0.12,-0.1,-1.13,0.4,0.65,0.64,0.65
WI_lower,0.02,0.02,-0.02,0.31,0.5,0.7,0.28,-1.38,-2.37,-2.56,-2.76
