,base1,pop_minus,pop_plus,distpair,ust,distpair_ust,reversible,county25,county50,county75,county100
FL congress,-1.29,1.02,-0.87,*183.39,*174.49,*397.62,*213.35,*-132.1,*-213.15,*-224.16,*-223.57
FL upper,1.37,*6.5,*-4.28,*224.01,*186.18,*444.56,*248.68,*-143.25,*-250.79,*-283.87,*-292.68
FL lower,0.26,*8.76,*-6.03,*311.67,*218.58,*562.46,*343.63,*-123.63,*-219.97,*-251.63,*-256.68
IL congress,-0.87,1.47,-1.02,*141.9,*229.9,*406.27,*218.07,*-89.34,*-219.62,*-246.42,*-247.89
IL upper,-0.25,*5.29,*-4.53,*284.39,*288.47,*621.67,*299.34,*-117.16,*-249.31,*-281.24,*-282.87
IL lower,0.03,*5.82,*-5.05,*377.03,*322.93,*744.02,*363.94,*-109.72,*-228.82,*-271.58,*-279.51
MI congress,-0.42,-1.0,-0.73,*84.33,*129.29,*240.83,*128.69,*-52.7,*-126.4,*-154.59,*-156.75
MI upper,-0.39,*8.2,*-3.72,*153.59,*140.01,*319.65,*154.8,*-74.52,*-155.75,*-188.12,*-189.69
MI lower,-0.15,*2.76,*-2.84,*211.64,*152.78,*386.76,*179.8,*-73.67,*-150.14,*-189.6,*-193.56
NC congress,-1.07,0.34,-0.48,*50.5,*62.03,*124.85,*55.99,*-53.26,*-100.88,*-112.44,*-112.49
NC upper,-0.44,*1.33,*-1.97,*101.15,*75.84,*191.25,*72.02,*-76.38,*-149.59,*-173.98,*-174.46
NC lower,0.41,*1.91,-1.09,*130.03,*76.5,*217.68,*115.24,*-60.06,*-117.35,*-141.07,*-143.53
NY congress,0.01,2.18,-2.11,*232.71,*284.36,*571.75,*256.75,*-235.45,*-446.87,*-471.35,*-471.51
NY upper,-1.95,*6.17,*-5.65,*385.94,*366.06,*807.33,*454.59,*-216.5,*-406.43,*-438.22,*-439.9
NY lower,-3.03,*12.1,*-8.0,*551.37,*429.53,*1040.44,*549.77,*-190.13,*-352.84,*-405.19,*-432.58
OH congress,-1.1,-0.91,-0.27,*139.29,*240.09,*423.3,*236.23,*-127.97,*-270.79,*-295.95,*-295.93
OH upper,-2.35,0.73,-2.53,*234.94,*278.95,*563.22,*304.58,*-175.53,*-337.64,*-368.9,*-369.84
OH lower,0.69,*5.13,-2.62,*404.15,*319.68,*776.68,*435.46,*-149.78,*-301.85,*-360.04,*-370.44
WI congress,0.49,-0.41,1.29,*70.05,*150.63,*241.64,*145.19,*-76.94,*-150.84,*-162.66,*-162.09
WI upper,-1.99,2.1,*-5.07,*198.74,*208.67,*444.45,*217.4,*-136.76,*-250.62,*-270.11,*-269.74
WI lower,-1.15,2.09,*-5.12,*324.92,*234.3,*597.35,*280.18,*-115.43,*-213.03,*-239.1,*-237.2
AVERAGE,-0.63,3.41,-2.99,228.37,217.58,482.08,251.13,-120.49,-233.94,-263.34,-266.81
