,base1,pop_minus,pop_plus,ust,distpair,distpair_ust,reversible,county25,county50,county75,county100
FL_congress,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0
FL_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,-0.0,-0.0,-0.0
FL_lower,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IL_congress,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
IL_upper,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
IL_lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI_congress,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.01,0.0,0.0,0.0,0.0
MI_upper,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
MI_lower,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
NC_congress,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0
NC_upper,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0
NC_lower,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
NY_congress,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
NY_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
NY_lower,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
OH_congress,-0.0,-0.0,-0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0
OH_upper,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
OH_lower,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
WI_congress,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.01,0.01,0.01
WI_upper,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
WI_lower,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
