,base1,pop_minus,pop_plus,ust,distpair,distpair_ust,reversible,county25,county50,county75,county100
FL_congress,-0.01,-0.01,-0.01,0.13,0.27,0.41,0.63,-0.25,-0.35,-0.35,-0.34
FL_upper,0.01,0.0,-0.02,0.0,0.15,0.17,0.23,-0.21,-0.42,-0.49,-0.53
FL_lower,0.04,0.01,0.02,0.1,0.07,0.15,-0.96,-0.01,-0.24,-0.39,-0.25
IL_congress,-0.0,0.0,-0.0,0.02,0.03,0.04,-0.0,-0.08,-0.18,-0.18,-0.17
IL_upper,-0.01,-0.0,0.0,0.06,0.08,0.17,0.54,0.01,-0.08,-0.17,-0.23
IL_lower,-0.0,-0.0,0.0,0.13,0.13,0.29,-1.05,-0.11,-0.32,-0.55,-0.63
MI_congress,0.0,0.0,0.0,0.0,0.02,0.01,-0.13,-0.02,-0.11,-0.15,-0.15
MI_upper,0.01,0.02,0.0,0.01,0.0,-0.0,-0.06,-0.1,-0.28,-0.36,-0.38
MI_lower,-0.02,0.0,-0.0,-0.11,-0.09,-0.2,0.29,-0.08,-0.07,-0.08,-0.08
NC_congress,-0.0,-0.0,-0.0,0.03,0.05,0.08,-0.19,-0.04,-0.07,-0.08,-0.08
NC_upper,0.0,-0.02,0.01,0.14,0.18,0.32,-0.03,-0.23,-0.39,-0.44,-0.45
NC_lower,-0.01,-0.01,-0.03,0.18,0.32,0.52,0.45,-0.06,-0.14,-0.17,-0.16
NY_congress,-0.0,-0.0,0.0,0.02,0.0,0.02,0.14,0.07,0.09,0.09,0.09
NY_upper,0.01,-0.0,0.0,0.05,0.03,0.08,0.13,-0.11,-0.34,-0.37,-0.36
NY_lower,0.0,-0.01,0.01,0.11,0.15,0.28,0.03,-0.13,-0.3,-0.34,-0.02
OH_congress,-0.0,0.0,-0.0,-0.06,-0.07,-0.13,0.1,0.01,0.07,0.1,0.11
OH_upper,0.01,0.01,0.0,-0.12,-0.07,-0.19,-0.19,0.15,0.24,0.25,0.26
OH_lower,-0.01,-0.0,-0.01,0.02,0.01,0.0,1.12,0.03,-0.04,-0.08,-0.08
WI_congress,0.0,-0.0,0.0,0.02,-0.02,0.0,-0.01,0.03,0.05,0.06,0.06
WI_upper,-0.01,-0.0,-0.01,-0.01,0.0,-0.0,0.04,-0.06,-0.13,-0.14,-0.15
WI_lower,0.01,0.02,0.01,0.01,0.02,0.04,0.04,0.0,0.0,0.01,0.08
