,base1,pop_minus,pop_plus,ust,distpair,distpair_ust,reversible,county25,county50,county75,county100
FL_congress,0.04,-0.03,-0.01,-4.83,-5.52,-10.81,-5.41,5.73,11.67,13.82,13.95
FL_upper,0.06,-0.08,0.17,-4.08,-5.01,-9.45,-4.47,5.61,11.75,14.16,14.5
FL_lower,-0.03,-0.07,0.04,-3.45,-5.05,-8.66,-5.28,3.82,7.91,9.68,9.87
IL_congress,0.05,-0.01,0.02,-5.07,-3.5,-9.05,-4.67,2.97,11.2,14.31,14.41
IL_upper,0.02,0.07,0.02,-5.02,-5.18,-10.46,-5.37,2.86,8.74,11.39,11.59
IL_lower,0.03,0.08,0.02,-4.61,-5.63,-10.31,-6.36,2.63,7.26,9.89,10.39
MI_congress,-0.04,0.11,-0.0,-5.84,-4.06,-10.46,-5.47,4.33,14.01,19.6,20.02
MI_upper,-0.0,-0.54,0.33,-5.2,-6.01,-11.37,-5.4,4.62,12.51,17.12,17.56
MI_lower,0.01,-0.02,0.05,-4.04,-5.87,-10.03,-3.6,3.62,8.96,12.54,13.14
NC_congress,0.03,-0.07,-0.1,-5.14,-4.3,-9.93,-4.89,3.89,11.92,15.81,15.97
NC_upper,0.01,0.06,0.03,-3.7,-5.11,-9.13,-3.7,6.1,15.27,19.85,20.24
NC_lower,0.01,-0.03,-0.04,-2.9,-5.06,-8.11,-3.72,4.48,10.15,13.42,13.95
NY_congress,-0.03,0.02,-0.02,-5.78,-4.93,-11.24,-5.73,6.08,14.31,16.32,16.37
NY_upper,-0.02,0.01,-0.02,-5.13,-5.66,-10.95,-5.59,4.25,10.23,11.83,11.95
NY_lower,0.0,-0.02,-0.0,-4.4,-5.77,-10.31,-4.61,2.96,6.63,8.2,8.71
OH_congress,0.12,0.13,-0.01,-5.63,-3.73,-9.99,-6.27,3.55,13.59,18.04,18.57
OH_upper,0.06,0.1,-0.05,-5.71,-5.21,-11.29,-6.68,5.62,16.32,20.73,21.19
OH_lower,-0.01,0.01,-0.01,-4.61,-5.96,-10.7,-7.48,3.97,10.84,14.87,15.46
WI_congress,-0.02,0.2,0.02,-5.05,-2.98,-8.1,-5.21,3.64,14.22,18.58,18.94
WI_upper,0.04,0.03,-0.01,-4.76,-4.42,-9.48,-3.97,4.23,14.35,19.21,19.71
WI_lower,0.01,0.07,0.0,-3.92,-5.56,-9.62,-4.2,3.91,10.39,14.4,15.12
