,base1,pop_minus,pop_plus,distpair,ust,distpair_ust,reversible,county25,county50,county75,county100
FL congress,-0.08,-0.14,-0.02,*1.47,*0.98,*2.84,*1.6,-0.14,*-0.62,*-0.58,*-0.52
FL upper,-0.1,0.04,*-0.29,0.09,0.1,*0.41,*-1.19,*-0.27,*-0.38,*-0.36,*-0.62
FL lower,0.01,*0.09,-0.03,*0.13,*0.12,*0.21,*-0.27,*0.33,*0.26,*0.13,*0.22
IL congress,-0.03,-0.03,-0.01,0.1,-0.11,0.13,0.03,0.03,*0.33,*0.17,0.07
IL upper,-0.03,0.02,0.01,*0.16,*0.14,*0.32,*0.17,*-0.11,*-0.11,-0.07,0.03
IL lower,-0.01,-0.04,0.02,*0.17,-0.01,*0.18,*0.87,*0.17,*0.7,*1.25,*1.47
MI congress,0.03,-0.1,-0.01,*-0.3,*-0.29,*-0.61,*0.52,*0.3,*0.91,*1.16,*1.05
MI upper,-0.07,-0.03,-0.0,*0.99,0.03,*1.12,*2.17,*-0.55,*-0.99,*-1.19,*-1.2
MI lower,0.01,0.01,0.0,*-0.12,-0.06,*-0.11,*-0.3,*0.29,*0.51,*0.66,*0.66
NC congress,0.02,-0.0,0.06,-0.11,*0.34,0.23,*-2.71,0.1,*-0.3,*-0.58,*-0.61
NC upper,0.05,0.01,-0.01,*0.6,*0.51,*1.21,*4.88,*-0.56,*-1.4,*-1.85,*-1.97
NC lower,-0.04,0.04,0.01,*0.26,*0.16,*0.37,*-2.23,-0.02,*-0.29,*-0.59,*-0.64
NY congress,0.04,0.08,-0.0,0.12,*-0.87,*-0.72,*-0.4,*-0.15,*-0.37,*-0.55,*-0.58
NY upper,0.01,0.01,0.03,0.01,*0.24,*0.3,*2.39,*-0.15,-0.04,0.03,-0.01
NY lower,0.02,-0.04,0.02,*0.09,*0.08,*0.23,*1.23,*-0.22,*-0.26,*-0.4,*-0.88
OH congress,-0.02,-0.02,0.07,*-0.26,*-0.47,*-1.08,*-5.89,*-1.39,*-3.09,*-3.18,*-3.19
OH upper,0.05,-0.04,0.09,*0.51,*0.29,*0.74,-0.01,*-1.26,*-2.0,*-2.17,*-2.2
OH lower,-0.02,-0.02,-0.03,-0.07,*-0.13,-0.08,*-0.78,*0.16,*0.57,*0.88,*0.88
WI congress,-0.06,0.05,0.09,*0.88,-0.07,*0.55,*0.82,*-1.16,*-1.89,*-2.14,*-2.09
WI upper,-0.04,-0.02,0.0,*-0.32,-0.02,*-0.2,*-3.1,*1.52,*2.81,*3.01,*3.1
WI lower,0.02,0.02,-0.02,*0.42,*0.27,*0.62,*0.11,*-1.27,*-2.29,*-2.5,*-2.7
AVERAGE,-0.01,-0.01,-0.0,0.23,0.06,0.32,-0.1,-0.21,-0.38,-0.42,-0.46
