,base1,pop_minus,pop_plus,ust,distpair,distpair_ust,reversible,county25,county50,county75,county100
FL_congress,-0.0,0.0,0.0,0.02,0.03,0.06,0.03,-0.1,-0.23,-0.27,-0.28
FL_upper,-0.0,0.0,-0.0,0.02,0.03,0.05,0.01,-0.12,-0.31,-0.4,-0.42
FL_lower,0.0,0.0,-0.0,0.03,0.05,0.07,0.03,-0.24,-0.56,-0.75,-0.79
IL_congress,-0.0,0.0,0.0,0.03,0.03,0.07,0.03,-0.07,-0.35,-0.62,-0.67
IL_upper,0.0,0.0,-0.0,0.03,0.04,0.07,0.06,-0.15,-0.54,-0.85,-0.92
IL_lower,-0.0,0.0,-0.0,0.03,0.04,0.07,0.04,-0.21,-0.67,-1.03,-1.12
MI_congress,-0.0,-0.0,-0.0,0.03,0.02,0.05,0.02,-0.07,-0.2,-0.28,-0.29
MI_upper,-0.0,-0.0,-0.0,0.02,0.03,0.06,0.02,-0.13,-0.43,-0.67,-0.7
MI_lower,-0.0,-0.0,-0.0,0.02,0.03,0.06,0.06,-0.24,-0.65,-0.98,-1.06
NC_congress,-0.0,-0.0,-0.0,0.01,0.01,0.03,0.01,-0.07,-0.15,-0.18,-0.19
NC_upper,0.0,0.0,-0.0,0.02,0.03,0.05,0.01,-0.16,-0.36,-0.47,-0.49
NC_lower,0.0,0.0,-0.0,0.02,0.03,0.05,0.03,-0.21,-0.46,-0.64,-0.68
NY_congress,-0.0,0.0,-0.0,0.02,0.03,0.05,0.02,-0.11,-0.3,-0.39,-0.41
NY_upper,-0.0,0.0,-0.0,0.03,0.05,0.08,0.06,-0.19,-0.54,-0.73,-0.77
NY_lower,-0.0,0.0,-0.0,0.04,0.07,0.1,0.05,-0.27,-0.65,-0.89,-1.02
OH_congress,0.0,-0.0,0.0,0.02,0.02,0.05,0.02,-0.06,-0.17,-0.2,-0.21
OH_upper,-0.0,-0.0,-0.0,0.02,0.02,0.05,0.02,-0.1,-0.28,-0.38,-0.4
OH_lower,-0.0,-0.0,-0.0,0.02,0.03,0.06,0.03,-0.18,-0.51,-0.74,-0.79
WI_congress,-0.0,-0.0,0.0,0.02,0.01,0.03,0.02,-0.06,-0.14,-0.17,-0.17
WI_upper,-0.0,-0.0,-0.0,0.02,0.03,0.05,0.01,-0.14,-0.36,-0.47,-0.49
WI_lower,0.0,-0.0,0.0,0.03,0.04,0.07,0.01,-0.2,-0.48,-0.68,-0.74
