,base1,pop_minus,pop_plus,ust,distpair,distpair_ust,reversible,county25,county50,county75,county100
FL_congress,-0.03,-0.03,-0.05,0.25,0.37,0.59,2.08,-0.71,-0.84,-0.81,-0.79
FL_upper,0.0,0.02,-0.01,0.05,0.21,0.3,1.15,-0.14,-0.35,-0.53,-0.72
FL_lower,-0.0,0.01,-0.01,-0.05,-0.05,-0.05,-1.68,0.02,0.1,0.08,-0.01
IL_congress,-0.01,0.02,0.02,-0.14,-0.14,-0.18,0.12,0.48,1.77,1.97,1.94
IL_upper,-0.01,0.01,-0.08,-0.08,0.24,0.19,-0.89,0.02,0.13,0.33,0.48
IL_lower,-0.0,0.01,-0.04,-0.11,0.11,0.01,1.82,0.18,0.41,0.71,0.83
MI_congress,-0.01,0.01,-0.03,-0.56,-0.4,-0.89,-1.09,0.09,0.43,0.84,0.92
MI_upper,0.01,-0.01,0.03,-0.19,-0.41,-0.77,-0.57,0.04,-0.15,-0.22,-0.25
MI_lower,0.03,0.04,0.02,-0.0,-0.05,-0.12,0.39,-0.24,-0.46,-0.54,-0.54
NC_congress,-0.03,0.01,-0.0,0.04,-0.1,-0.06,-1.36,0.33,0.72,0.91,0.96
NC_upper,-0.07,-0.05,-0.0,-0.16,-0.34,-0.5,-0.95,-0.39,-0.76,-0.85,-0.83
NC_lower,-0.01,-0.01,0.02,-0.02,-0.05,-0.11,-0.78,-0.2,-0.49,-0.76,-0.84
NY_congress,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NY_upper,0.01,-0.0,0.01,0.45,0.25,0.78,3.06,-0.4,-0.56,-0.55,-0.54
NY_lower,0.02,-0.07,0.0,0.07,0.07,0.21,-0.61,-0.24,-0.4,-0.6,-0.96
OH_congress,-0.02,-0.1,-0.08,1.48,0.38,1.96,-0.2,0.05,0.47,0.82,0.89
OH_upper,-0.0,0.01,-0.04,-0.15,-0.38,-0.48,1.11,0.49,0.81,0.72,0.64
OH_lower,-0.01,-0.03,0.02,-0.08,-0.05,-0.22,-0.73,-0.12,-0.08,-0.2,-0.18
WI_congress,0.09,0.07,0.02,-0.47,-1.13,-1.73,-0.5,2.68,5.5,5.92,5.87
WI_upper,-0.0,0.04,-0.01,-0.09,-0.02,0.04,-0.71,0.8,1.53,1.75,1.75
WI_lower,-0.02,-0.04,-0.01,0.05,0.11,0.18,0.71,0.24,0.47,0.45,0.49
