,base1,pop_minus,pop_plus,distpair,ust,distpair_ust,reversible,county25,county50,county75,county100
FL congress,0.0,0.0,0.0,*0.05,*0.03,*0.08,*0.04,*-0.12,*-0.26,*-0.32,*-0.33
FL upper,0.0,*0.0,*-0.0,*0.03,*0.02,*0.06,*0.02,*-0.13,*-0.28,*-0.34,*-0.35
FL lower,0.0,*0.0,*-0.0,*0.02,*0.01,*0.03,*0.02,*-0.08,*-0.16,*-0.2,*-0.21
IL congress,-0.0,-0.0,-0.0,*0.03,*0.05,*0.09,*0.05,*-0.15,*-0.47,*-0.65,*-0.67
IL upper,0.0,-0.0,0.0,*0.02,*0.02,*0.05,*0.02,*-0.11,*-0.29,*-0.4,*-0.41
IL lower,0.0,*-0.0,0.0,*0.02,*0.01,*0.03,*0.01,*-0.08,*-0.2,*-0.27,*-0.29
MI congress,-0.0,-0.0,0.0,*0.05,*0.06,*0.12,*0.06,*-0.19,*-0.56,*-0.8,*-0.83
MI upper,-0.0,*0.0,*-0.0,*0.04,*0.03,*0.07,*0.03,*-0.16,*-0.38,*-0.52,*-0.53
MI lower,-0.0,0.0,-0.0,*0.02,*0.01,*0.03,*0.02,*-0.1,*-0.22,*-0.3,*-0.31
NC congress,-0.0,-0.0,-0.0,*0.04,*0.05,*0.11,*0.05,*-0.25,*-0.68,*-0.91,*-0.94
NC upper,-0.0,-0.0,0.0,*0.03,*0.02,*0.05,*0.02,*-0.17,*-0.39,*-0.51,*-0.52
NC lower,0.0,*-0.0,0.0,*0.02,*0.01,*0.03,*0.01,*-0.11,*-0.22,*-0.3,*-0.31
NY congress,0.0,0.0,-0.0,*0.03,*0.03,*0.07,*0.03,*-0.12,*-0.36,*-0.47,*-0.48
NY upper,-0.0,0.0,-0.0,*0.02,*0.02,*0.04,*0.02,*-0.09,*-0.23,*-0.3,*-0.31
NY lower,*-0.0,-0.0,0.0,*0.01,*0.01,*0.02,*0.02,*-0.06,*-0.13,*-0.17,*-0.19
OH congress,-0.0,-0.0,-0.0,*0.05,*0.07,*0.13,*0.08,*-0.21,*-0.65,*-0.92,*-0.96
OH upper,-0.0,-0.0,0.0,*0.03,*0.04,*0.07,*0.03,*-0.18,*-0.48,*-0.66,*-0.68
OH lower,0.0,-0.0,0.0,*0.02,*0.02,*0.04,*0.03,*-0.11,*-0.25,*-0.34,*-0.36
WI congress,-0.0,-0.0,0.0,*0.05,*0.08,*0.13,*0.09,*-0.23,*-0.76,*-1.09,*-1.14
WI upper,-0.0,-0.0,-0.0,*0.03,*0.03,*0.07,*0.02,*-0.16,*-0.42,*-0.57,*-0.59
WI lower,0.0,-0.0,0.0,*0.02,*0.01,*0.03,*0.02,*-0.09,*-0.22,*-0.3,*-0.31
AVERAGE,0.0,0.0,0.0,0.03,0.03,0.06,0.03,-0.14,-0.36,-0.49,-0.51
