,base1,pop_minus,pop_plus,distpair,ust,distpair_ust,reversible,county25,county50,county75,county100
FL congress,0.01,*0.02,0.0,*-0.06,*-0.08,*-0.16,*-0.08,*0.04,*0.08,*0.07,*0.06
FL upper,-0.0,-0.02,0.01,*-0.07,*-0.04,*-0.14,-0.02,*0.07,*0.11,*0.08,0.02
FL lower,0.03,0.03,-0.0,*-0.24,*-0.16,*-0.46,*-0.76,*0.05,0.04,*0.08,*0.12
IL congress,0.0,-0.0,0.01,-0.01,*0.02,-0.0,*0.04,*0.02,*0.05,*0.05,*0.05
IL upper,-0.0,0.0,0.0,*-0.08,*-0.04,*-0.12,*0.03,*0.03,*0.04,0.02,0.01
IL lower,-0.01,-0.01,-0.02,*-0.18,*-0.11,*-0.31,*0.56,*0.24,*0.43,*0.46,*0.43
MI congress,0.0,-0.0,0.0,*-0.04,*-0.04,*-0.07,*0.08,*0.02,*0.03,*0.04,*0.04
MI upper,-0.0,0.0,-0.01,*-0.04,*-0.03,*-0.09,*-0.06,*-0.16,*-0.47,*-0.57,*-0.6
MI lower,0.02,0.02,*0.04,*-0.09,*-0.05,*-0.14,*-0.31,*-0.21,*-0.48,*-0.6,*-0.62
NC congress,0.0,0.01,0.01,*-0.02,*-0.01,*-0.04,*0.07,*0.04,*0.05,*0.07,*0.06
NC upper,-0.01,0.0,0.0,*-0.16,*-0.13,*-0.29,0.02,*0.27,*0.55,*0.67,*0.67
NC lower,0.01,0.01,0.0,*-0.33,*-0.18,*-0.55,*-1.04,*0.59,*1.08,*1.3,*1.34
NY congress,-0.02,0.02,-0.01,*-0.09,*-0.07,*-0.16,*0.12,*0.03,*0.08,*0.1,*0.1
NY upper,-0.01,-0.02,-0.01,*-0.07,*-0.05,*-0.13,*-0.23,0.02,*0.11,*0.15,*0.15
NY lower,0.03,-0.01,0.01,*-0.38,*-0.29,*-0.66,*-2.35,*0.26,*0.47,*0.61,*0.96
OH congress,0.0,-0.0,0.0,*-0.04,*0.02,*-0.02,*0.03,*0.03,*0.09,*0.13,*0.14
OH upper,-0.01,0.0,-0.01,*-0.07,*-0.09,*-0.15,0.01,*0.04,*0.04,*0.04,*0.03
OH lower,-0.0,-0.02,-0.01,*-0.09,*-0.1,*-0.24,*0.16,*0.08,*0.28,*0.39,*0.43
WI congress,0.0,-0.0,-0.0,*-0.01,0.0,*-0.0,*-0.01,*0.02,*0.03,*0.04,*0.03
WI upper,-0.0,-0.0,-0.0,*-0.04,*-0.03,*-0.06,*-0.1,*0.04,*0.05,*0.07,*0.06
WI lower,0.01,0.01,0.01,*0.03,0.02,*0.04,*0.12,*0.11,*0.19,*0.25,*0.33
AVERAGE,0.0,0.0,0.0,-0.1,-0.07,-0.18,-0.18,0.08,0.14,0.16,0.18
