,base1,pop_minus,pop_plus,ust,distpair,distpair_ust,reversible,county25,county50,county75,county100
FL_congress,-0.02,-0.02,-0.02,0.17,0.26,0.43,1.02,-0.35,-0.46,-0.47,-0.46
FL_upper,0.0,0.02,-0.02,0.05,0.14,0.22,0.51,-0.09,-0.21,-0.27,-0.31
FL_lower,0.0,0.01,-0.01,0.01,0.02,0.04,-0.57,0.02,0.04,0.02,-0.03
IL_congress,-0.0,-0.0,-0.0,0.01,0.01,0.02,-0.01,-0.03,-0.13,-0.15,-0.15
IL_upper,-0.0,0.0,0.0,0.01,-0.0,0.01,0.06,-0.01,-0.02,-0.03,-0.04
IL_lower,-0.0,-0.0,0.0,0.01,0.0,0.01,-0.09,-0.01,-0.02,-0.03,-0.04
MI_congress,0.01,-0.0,0.01,0.23,0.16,0.35,0.48,-0.03,-0.14,-0.3,-0.33
MI_upper,-0.01,0.01,-0.02,0.06,0.14,0.26,0.14,-0.01,0.07,0.08,0.08
MI_lower,-0.01,-0.01,-0.0,-0.0,0.01,0.03,-0.17,0.07,0.13,0.15,0.15
NC_congress,-0.04,0.0,-0.0,0.15,-0.09,0.07,-2.2,0.38,0.77,0.94,0.99
NC_upper,-0.06,-0.05,0.0,-0.1,-0.25,-0.34,-0.88,-0.49,-0.97,-1.11,-1.1
NC_lower,-0.01,-0.01,0.01,0.02,0.02,0.0,-0.51,-0.23,-0.55,-0.84,-0.92
NY_congress,0.0,0.0,-0.0,0.01,0.02,0.03,-0.0,-0.01,-0.03,-0.03,-0.03
NY_upper,0.0,0.0,-0.0,0.01,0.01,0.01,-0.0,0.0,-0.0,-0.0,-0.0
NY_lower,-0.0,0.0,-0.0,0.01,0.01,0.02,0.04,-0.0,-0.01,-0.01,0.0
OH_congress,-0.0,-0.02,-0.01,0.27,0.12,0.39,-0.17,-0.07,-0.1,-0.07,-0.07
OH_upper,-0.0,-0.0,-0.01,0.0,-0.03,-0.01,0.2,0.01,0.01,-0.02,-0.03
OH_lower,-0.0,-0.0,0.0,0.0,0.01,0.01,-0.13,-0.02,-0.01,-0.03,-0.03
WI_congress,-0.07,-0.12,-0.03,0.39,0.97,1.57,0.22,-2.04,-4.16,-4.46,-4.43
WI_upper,-0.0,-0.03,0.01,0.03,-0.02,-0.15,0.46,-0.66,-1.19,-1.32,-1.32
WI_lower,0.01,0.03,0.01,-0.08,-0.15,-0.25,-0.51,-0.13,-0.26,-0.21,-0.18
