,base1,pop_minus,pop_plus,ust,distpair,distpair_ust,reversible,county25,county50,county75,county100
FL_congress,-0.01,-0.01,-0.0,0.07,0.11,0.21,0.09,-0.01,-0.05,-0.05,-0.05
FL_upper,-0.01,0.0,-0.02,0.01,0.01,0.03,-0.09,-0.02,-0.03,-0.02,-0.04
FL_lower,0.0,0.01,-0.0,0.01,0.01,0.02,-0.01,0.02,0.01,-0.0,0.01
IL_congress,-0.0,-0.0,-0.0,-0.0,0.0,0.01,0.02,-0.0,0.03,0.02,0.01
IL_upper,-0.0,0.0,-0.0,0.01,0.01,0.02,-0.0,-0.01,-0.01,-0.0,0.01
IL_lower,-0.0,-0.0,0.0,-0.0,0.01,0.01,0.08,0.02,0.06,0.1,0.12
MI_congress,0.0,-0.01,-0.0,-0.02,-0.02,-0.04,0.05,0.01,0.03,0.04,0.03
MI_upper,-0.01,-0.0,-0.0,0.0,0.08,0.09,0.15,-0.04,-0.07,-0.08,-0.08
MI_lower,0.0,0.0,-0.0,-0.01,-0.01,-0.01,-0.01,0.02,0.04,0.05,0.05
NC_congress,0.0,-0.0,0.0,0.03,-0.01,0.02,-0.16,0.0,-0.04,-0.06,-0.06
NC_upper,0.0,0.0,-0.0,0.04,0.05,0.1,0.38,-0.04,-0.11,-0.15,-0.16
NC_lower,-0.0,0.0,0.0,0.01,0.02,0.03,-0.15,-0.0,-0.02,-0.05,-0.06
NY_congress,0.0,0.01,-0.0,-0.07,0.01,-0.05,-0.04,-0.01,-0.02,-0.03,-0.04
NY_upper,0.0,-0.0,0.0,0.02,0.0,0.03,0.19,-0.01,-0.0,0.0,0.0
NY_lower,0.0,-0.0,0.0,0.01,0.01,0.02,0.08,-0.02,-0.02,-0.04,-0.07
OH_congress,-0.0,-0.0,0.01,-0.04,-0.02,-0.08,-0.4,-0.1,-0.23,-0.24,-0.24
OH_upper,0.0,-0.0,0.01,0.02,0.04,0.06,-0.03,-0.11,-0.18,-0.2,-0.2
OH_lower,-0.0,-0.0,-0.0,-0.01,-0.01,-0.01,-0.05,0.01,0.04,0.06,0.06
WI_congress,-0.0,0.0,0.01,-0.01,0.07,0.04,0.07,-0.1,-0.16,-0.18,-0.18
WI_upper,-0.0,-0.0,0.0,0.0,-0.02,-0.0,-0.22,0.1,0.19,0.2,0.21
WI_lower,0.0,0.0,-0.0,0.02,0.03,0.05,-0.0,-0.09,-0.18,-0.2,-0.22
