,base1,pop_minus,pop_plus,distpair,ust,distpair_ust,reversible,county25,county50,county75,county100
FL congress,0.01,0.02,0.01,*-0.03,*-0.05,*-0.09,*-0.31,*0.05,*0.14,*0.14,*0.14
FL upper,-0.01,*-0.04,0.01,0.02,0.0,0.01,*-0.12,*0.19,*0.51,*0.55,*0.54
FL lower,0.03,0.07,0.03,-0.0,0.01,-0.03,*-1.59,*0.15,*0.22,*0.24,*0.29
IL congress,0.01,0.0,0.02,0.02,*0.07,*0.05,*0.05,*0.04,*0.13,*0.13,*0.14
IL upper,0.0,0.01,-0.01,*0.11,*0.06,*0.16,*0.66,0.03,*0.06,0.04,0.04
IL lower,-0.0,0.02,-0.0,*0.07,0.04,*0.1,*0.27,*0.18,*0.32,*0.3,*0.26
MI congress,0.0,0.01,0.0,-0.0,-0.0,-0.01,*0.02,*0.02,*0.03,*0.02,*0.03
MI upper,-0.0,-0.01,0.0,-0.0,0.0,-0.0,*-0.14,*-0.03,*-0.08,*-0.1,*-0.1
MI lower,0.01,0.02,0.01,-0.02,-0.02,*-0.05,*-0.33,*-0.04,*-0.08,*-0.08,*-0.09
NC congress,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,*0.0,0.0,0.0,*0.0,*0.0
NC upper,-0.01,-0.02,-0.01,*-0.07,*-0.05,*-0.14,*0.14,*0.14,*0.31,*0.42,*0.42
NC lower,0.03,-0.02,0.04,*-0.12,-0.06,*-0.21,*-0.18,*0.15,*0.2,*0.21,*0.24
NY congress,-0.0,0.0,-0.0,*0.08,0.01,*0.11,0.03,*-0.53,*-1.04,*-1.06,*-1.07
NY upper,0.02,0.01,0.0,*0.17,*0.08,*0.25,*0.1,*-0.41,*-0.89,*-1.07,*-1.13
NY lower,0.03,0.03,0.04,0.01,*-0.1,*-0.09,*-1.2,*-0.31,*-0.59,*-0.7,*-0.99
OH congress,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,*0.0,*0.0,*0.0
OH upper,-0.01,-0.01,0.0,*-0.02,*-0.03,*-0.03,*-0.06,0.01,*0.01,*0.02,*0.02
OH lower,-0.0,0.0,-0.01,0.01,-0.01,-0.02,-0.02,-0.0,0.01,0.03,0.02
WI congress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI upper,0.0,0.0,0.0,0.01,-0.01,0.01,*-0.03,0.01,0.01,0.01,0.0
WI lower,0.02,0.0,0.01,*0.05,*0.04,*0.08,*0.24,0.02,0.01,0.0,0.02
AVERAGE,0.01,0.0,0.01,0.01,-0.0,0.0,-0.12,-0.02,-0.03,-0.04,-0.06
