,base1,pop_minus,pop_plus,distpair,ust,distpair_ust,reversible,county25,county50,county75,county100
FL congress,0.0,-0.0,-0.0,*-0.02,*-0.01,*-0.03,*-0.02,*0.01,*0.02,*0.02,*0.02
FL upper,0.0,0.0,0.0,*-0.01,*-0.01,*-0.02,*-0.01,*0.01,*0.02,*0.02,*0.02
FL lower,-0.0,-0.0,0.0,*-0.01,*-0.01,*-0.02,*-0.01,*0.01,*0.01,*0.01,*0.01
IL congress,0.0,0.0,0.0,*-0.01,*-0.01,*-0.02,*-0.01,*0.0,*0.01,*0.01,*0.01
IL upper,0.0,*0.0,-0.0,*-0.01,*-0.01,*-0.03,*-0.01,*0.0,*0.01,*0.01,*0.01
IL lower,0.0,*0.0,-0.0,*-0.01,*-0.01,*-0.03,*-0.02,*0.0,*0.01,*0.01,*0.01
MI congress,-0.0,0.0,-0.0,*-0.01,*-0.01,*-0.02,*-0.01,*0.01,*0.01,*0.02,*0.02
MI upper,-0.0,*-0.0,*0.0,*-0.01,*-0.01,*-0.03,*-0.01,*0.01,*0.01,*0.02,*0.02
MI lower,0.0,0.0,-0.0,*-0.01,*-0.01,*-0.02,*-0.01,*0.01,*0.01,*0.02,*0.02
NC congress,0.0,-0.0,-0.0,*-0.01,*-0.02,*-0.03,*-0.01,0.0,*0.01,*0.01,*0.01
NC upper,0.0,0.0,-0.0,*-0.01,*-0.01,*-0.03,*-0.01,*0.01,*0.02,*0.03,*0.03
NC lower,0.0,0.0,*-0.0,*-0.01,*-0.01,*-0.02,*-0.01,*0.01,*0.02,*0.02,*0.02
NY congress,-0.0,0.0,-0.0,*-0.01,*-0.01,*-0.03,*-0.01,*0.01,*0.03,*0.03,*0.03
NY upper,-0.0,0.0,-0.0,*-0.01,*-0.01,*-0.03,*-0.01,*0.01,*0.02,*0.02,*0.02
NY lower,-0.0,0.0,-0.0,*-0.01,*-0.01,*-0.03,*-0.01,*0.0,*0.01,*0.01,*0.01
OH congress,0.0,0.0,-0.0,*-0.01,*-0.01,*-0.02,*-0.02,-0.0,*0.01,*0.01,*0.01
OH upper,0.0,0.0,-0.0,*-0.01,*-0.01,*-0.03,*-0.02,*0.01,*0.02,*0.02,*0.02
OH lower,-0.0,0.0,-0.0,*-0.02,*-0.01,*-0.03,*-0.02,*0.01,*0.02,*0.02,*0.02
WI congress,0.0,0.0,0.0,*-0.01,*-0.01,*-0.01,*-0.01,-0.0,*0.01,*0.01,*0.01
WI upper,-0.0,0.0,-0.0,*-0.01,*-0.01,*-0.02,*-0.01,*0.0,*0.01,*0.02,*0.02
WI lower,0.0,*0.0,-0.0,*-0.01,*-0.01,*-0.02,*-0.01,*0.01,*0.02,*0.02,*0.02
AVERAGE,0.0,0.0,0.0,-0.01,-0.01,-0.02,-0.01,0.01,0.01,0.02,0.02
