,base1,pop_minus,pop_plus,distpair,ust,distpair_ust,reversible,county25,county50,county75,county100
FL congress,0.06,0.06,0.06,*4.06,*3.32,*7.82,*1.64,*-14.99,*-35.07,*-44.28,*-45.53
FL upper,-0.06,0.07,*-0.27,*4.85,*3.14,*8.36,*2.59,*-22.12,*-48.92,*-61.11,*-62.99
FL lower,-0.02,*0.29,*-0.35,*7.22,*3.9,*11.32,*6.47,*-36.06,*-74.76,*-94.9,*-98.14
IL congress,-0.01,-0.01,-0.05,*2.15,*3.34,*5.95,*4.03,*-9.69,*-34.19,*-50.8,*-52.89
IL upper,0.05,-0.03,0.0,*4.84,*4.88,*10.36,*5.27,*-25.26,*-71.3,*-97.96,*-101.54
IL lower,-0.04,-0.14,-0.15,*6.74,*5.43,*12.81,*5.71,*-37.75,*-96.1,*-131.3,*-136.78
MI congress,-0.01,-0.06,-0.01,*2.21,*2.5,*5.37,*2.59,*-10.36,*-31.12,*-44.56,*-46.01
MI upper,-0.03,*0.46,*-0.34,*4.6,*3.28,*8.62,*3.25,*-23.64,*-57.99,*-77.99,*-80.37
MI lower,0.01,0.19,-0.13,*6.77,*4.3,*11.47,*7.21,*-40.68,*-89.62,*-120.39,*-125.42
NC congress,-0.04,0.01,-0.01,*2.26,*2.96,*5.85,*2.44,*-14.12,*-37.4,*-48.95,*-50.18
NC upper,-0.06,0.06,-0.02,*5.24,*3.73,*9.53,*3.48,*-34.54,*-76.35,*-96.61,*-98.95
NC lower,-0.03,0.04,-0.1,*7.38,*4.09,*11.99,*1.93,*-48.89,*-101.67,*-132.49,*-137.66
NY congress,0.02,0.01,-0.01,*2.46,*3.22,*6.24,*3.49,*-10.23,*-36.01,*-49.14,*-51.0
NY upper,-0.03,0.05,-0.08,*4.41,*3.69,*8.59,*6.08,*-20.78,*-59.48,*-79.25,*-82.34
NY lower,-0.08,0.13,-0.11,*6.58,*4.23,*11.16,*6.45,*-33.54,*-84.23,*-113.04,*-120.58
OH congress,-0.04,-0.06,-0.0,*2.95,*3.89,*7.32,*4.18,*-12.65,*-42.6,*-59.95,*-62.23
OH upper,-0.0,-0.01,0.06,*3.93,*3.87,*8.59,*4.35,*-23.53,*-68.18,*-92.02,*-95.21
OH lower,0.03,0.01,0.01,*6.73,*4.81,*12.21,*8.51,*-43.07,*-107.49,*-146.24,*-152.61
WI congress,-0.01,-0.02,0.04,*1.48,*2.58,*4.5,*3.21,*-6.8,*-25.75,*-37.14,*-38.77
WI upper,-0.06,-0.0,-0.12,*3.81,*3.49,*7.95,*2.77,*-20.98,*-59.82,*-81.18,*-84.23
WI lower,-0.06,-0.04,-0.05,*7.07,*4.74,*12.33,*8.23,*-37.71,*-91.59,*-124.54,*-131.36
AVERAGE,-0.02,0.05,-0.08,4.65,3.78,8.97,4.47,-25.11,-63.32,-84.94,-88.32
