,base1,pop_minus,pop_plus,distpair,ust,distpair_ust,reversible,county25,county50,county75,county100
FL congress,-0.01,-0.01,-0.01,*0.27,*0.13,*0.41,*0.63,*-0.25,*-0.35,*-0.35,*-0.34
FL upper,0.01,0.0,-0.02,*0.15,0.0,*0.17,*0.23,*-0.21,*-0.42,*-0.49,*-0.53
FL lower,*0.04,0.01,0.02,*0.07,*0.1,*0.15,*-0.96,-0.01,*-0.24,*-0.39,*-0.25
IL congress,-0.0,0.0,-0.0,*0.03,*0.02,*0.04,-0.0,*-0.08,*-0.18,*-0.18,*-0.17
IL upper,-0.01,-0.0,0.0,*0.08,*0.06,*0.17,*0.54,0.01,*-0.08,*-0.17,*-0.23
IL lower,-0.0,-0.0,0.0,*0.13,*0.13,*0.29,*-1.05,*-0.11,*-0.32,*-0.55,*-0.63
MI congress,0.0,0.0,0.0,*0.02,0.0,*0.01,*-0.13,*-0.02,*-0.11,*-0.15,*-0.15
MI upper,0.01,0.02,0.0,0.0,0.01,-0.0,*-0.06,*-0.1,*-0.28,*-0.36,*-0.38
MI lower,-0.02,0.0,-0.0,*-0.09,*-0.11,*-0.2,*0.29,*-0.08,*-0.07,*-0.08,*-0.08
NC congress,-0.0,-0.0,-0.0,*0.05,*0.03,*0.08,*-0.19,*-0.04,*-0.07,*-0.08,*-0.08
NC upper,0.0,-0.02,0.01,*0.18,*0.14,*0.32,*-0.03,*-0.23,*-0.39,*-0.44,*-0.45
NC lower,-0.01,-0.01,-0.03,*0.32,*0.18,*0.52,*0.45,*-0.06,*-0.14,*-0.17,*-0.16
NY congress,-0.0,-0.0,0.0,0.0,*0.02,*0.02,*0.14,*0.07,*0.09,*0.09,*0.09
NY upper,0.01,-0.0,0.0,*0.03,*0.05,*0.08,*0.13,*-0.11,*-0.34,*-0.37,*-0.36
NY lower,0.0,-0.01,0.01,*0.15,*0.11,*0.28,0.03,*-0.13,*-0.3,*-0.34,-0.02
OH congress,-0.0,0.0,-0.0,*-0.07,*-0.06,*-0.13,*0.1,*0.01,*0.07,*0.1,*0.11
OH upper,0.01,0.01,0.0,*-0.07,*-0.12,*-0.19,*-0.19,*0.15,*0.24,*0.25,*0.26
OH lower,-0.01,-0.0,-0.01,0.01,0.02,0.0,*1.12,0.03,*-0.04,*-0.08,*-0.08
WI congress,0.0,-0.0,0.0,*-0.02,*0.02,0.0,*-0.01,*0.03,*0.05,*0.06,*0.06
WI upper,-0.01,-0.0,-0.01,0.0,-0.01,-0.0,*0.04,*-0.06,*-0.13,*-0.14,*-0.15
WI lower,0.01,0.02,0.01,0.02,0.01,*0.04,*0.04,0.0,0.0,0.01,*0.08
AVERAGE,0.0,0.0,-0.0,0.06,0.03,0.1,0.05,-0.06,-0.14,-0.18,-0.16
