,base1,pop_minus,pop_plus,distpair,ust,distpair_ust,reversible,county25,county50,county75,county100
FL congress,0.04,-0.03,-0.01,*-5.52,*-4.83,*-10.81,*-5.41,*5.73,*11.67,*13.82,*13.95
FL upper,0.06,-0.08,*0.17,*-5.01,*-4.08,*-9.45,*-4.47,*5.61,*11.75,*14.16,*14.5
FL lower,-0.03,-0.07,0.04,*-5.05,*-3.45,*-8.66,*-5.28,*3.82,*7.91,*9.68,*9.87
IL congress,0.05,-0.01,0.02,*-3.5,*-5.07,*-9.05,*-4.67,*2.97,*11.2,*14.31,*14.41
IL upper,0.02,0.07,0.02,*-5.18,*-5.02,*-10.46,*-5.37,*2.86,*8.74,*11.39,*11.59
IL lower,0.03,*0.08,0.02,*-5.63,*-4.61,*-10.31,*-6.36,*2.63,*7.26,*9.89,*10.39
MI congress,-0.04,0.11,-0.0,*-4.06,*-5.84,*-10.46,*-5.47,*4.33,*14.01,*19.6,*20.02
MI upper,-0.0,*-0.54,*0.33,*-6.01,*-5.2,*-11.37,*-5.4,*4.62,*12.51,*17.12,*17.56
MI lower,0.01,-0.02,0.05,*-5.87,*-4.04,*-10.03,*-3.6,*3.62,*8.96,*12.54,*13.14
NC congress,0.03,-0.07,-0.1,*-4.3,*-5.14,*-9.93,*-4.89,*3.89,*11.92,*15.81,*15.97
NC upper,0.01,0.06,0.03,*-5.11,*-3.7,*-9.13,*-3.7,*6.1,*15.27,*19.85,*20.24
NC lower,0.01,-0.03,-0.04,*-5.06,*-2.9,*-8.11,*-3.72,*4.48,*10.15,*13.42,*13.95
NY congress,-0.03,0.02,-0.02,*-4.93,*-5.78,*-11.24,*-5.73,*6.08,*14.31,*16.32,*16.37
NY upper,-0.02,0.01,-0.02,*-5.66,*-5.13,*-10.95,*-5.59,*4.25,*10.23,*11.83,*11.95
NY lower,0.0,-0.02,-0.0,*-5.77,*-4.4,*-10.31,*-4.61,*2.96,*6.63,*8.2,*8.71
OH congress,0.12,0.13,-0.01,*-3.73,*-5.63,*-9.99,*-6.27,*3.55,*13.59,*18.04,*18.57
OH upper,0.06,0.1,-0.05,*-5.21,*-5.71,*-11.29,*-6.68,*5.62,*16.32,*20.73,*21.19
OH lower,-0.01,0.01,-0.01,*-5.96,*-4.61,*-10.7,*-7.48,*3.97,*10.84,*14.87,*15.46
WI congress,-0.02,0.2,0.02,*-2.98,*-5.05,*-8.1,*-5.21,*3.64,*14.22,*18.58,*18.94
WI upper,0.04,0.03,-0.01,*-4.42,*-4.76,*-9.48,*-3.97,*4.23,*14.35,*19.21,*19.71
WI lower,0.01,0.07,0.0,*-5.56,*-3.92,*-9.62,*-4.2,*3.91,*10.39,*14.4,*15.12
AVERAGE,0.02,0.0,0.02,-4.98,-4.71,-9.97,-5.15,4.23,11.53,14.94,15.31
