,base1,pop_minus,pop_plus,distpair,ust,distpair_ust,reversible,county25,county50,county75,county100
FL congress,-0.02,-0.03,-0.0,*0.31,*0.21,*0.6,*0.34,-0.03,*-0.13,*-0.12,*-0.11
FL upper,-0.03,0.01,*-0.09,0.03,0.03,*0.12,*-0.36,*-0.08,*-0.11,*-0.11,*-0.19
FL lower,0.02,*0.08,-0.02,*0.12,*0.11,*0.19,*-0.25,*0.3,*0.24,*0.12,*0.2
IL congress,-0.0,-0.0,-0.0,0.01,-0.01,0.02,0.01,0.0,*0.04,*0.02,0.01
IL upper,-0.01,0.01,0.0,*0.07,*0.06,*0.14,*0.08,*-0.05,*-0.05,-0.03,0.01
IL lower,-0.01,-0.03,0.01,*0.14,-0.01,*0.16,*0.77,*0.15,*0.62,*1.11,*1.3
MI congress,0.0,-0.01,-0.0,*-0.03,*-0.03,*-0.06,*0.05,*0.03,*0.09,*0.11,*0.1
MI upper,-0.02,-0.01,-0.0,*0.28,0.01,*0.32,*0.62,*-0.16,*-0.28,*-0.34,*-0.34
MI lower,0.01,0.0,0.0,*-0.1,-0.05,*-0.1,*-0.25,*0.24,*0.41,*0.54,*0.55
NC congress,0.0,-0.0,0.01,-0.01,*0.03,0.02,*-0.28,0.01,*-0.03,*-0.06,*-0.06
NC upper,0.02,0.0,-0.0,*0.23,*0.19,*0.45,*1.83,*-0.21,*-0.52,*-0.69,*-0.74
NC lower,-0.04,0.04,0.01,*0.24,*0.15,*0.34,*-2.0,-0.02,*-0.26,*-0.53,*-0.58
NY congress,0.01,0.02,-0.0,0.02,*-0.17,*-0.14,*-0.08,*-0.03,*-0.07,*-0.11,*-0.11
NY upper,0.01,0.0,0.01,0.01,*0.11,*0.14,*1.13,*-0.07,-0.02,0.01,0.0
NY lower,0.02,-0.05,0.02,*0.1,*0.09,*0.25,*1.35,*-0.24,*-0.29,*-0.45,*-1.0
OH congress,-0.0,-0.0,0.01,*-0.03,*-0.05,*-0.12,*-0.66,*-0.16,*-0.35,*-0.36,*-0.36
OH upper,0.01,-0.01,0.02,*0.13,*0.07,*0.18,-0.0,*-0.31,*-0.49,*-0.54,*-0.55
OH lower,-0.01,-0.02,-0.02,-0.05,*-0.09,-0.06,*-0.57,*0.12,*0.42,*0.65,*0.66
WI congress,-0.0,0.0,0.01,*0.05,-0.0,*0.03,*0.05,*-0.07,*-0.11,*-0.13,*-0.13
WI upper,-0.01,-0.01,0.0,*-0.08,-0.0,*-0.05,*-0.77,*0.38,*0.7,*0.74,*0.77
WI lower,0.02,0.02,-0.01,*0.32,*0.2,*0.46,*0.08,*-0.94,*-1.7,*-1.85,*-2.0
AVERAGE,-0.0,0.0,-0.0,0.08,0.04,0.14,0.05,-0.05,-0.09,-0.1,-0.12
