,base1,pop_minus,pop_plus,distpair,ust,distpair_ust,reversible,county25,county50,county75,county100
FL congress,-0.03,-0.03,-0.05,*0.37,*0.25,*0.59,*2.08,*-0.71,*-0.84,*-0.81,*-0.79
FL upper,0.0,0.02,-0.01,*0.21,0.05,*0.3,*1.15,*-0.14,*-0.35,*-0.53,*-0.72
FL lower,-0.0,0.01,-0.01,*-0.05,*-0.05,*-0.05,*-1.68,0.02,*0.1,*0.08,-0.01
IL congress,-0.01,0.02,0.02,*-0.14,*-0.14,*-0.18,*0.12,*0.48,*1.77,*1.97,*1.94
IL upper,-0.01,0.01,*-0.08,*0.24,*-0.08,*0.19,*-0.89,0.02,*0.13,*0.33,*0.48
IL lower,-0.0,0.01,-0.04,*0.11,*-0.11,0.01,*1.82,*0.18,*0.41,*0.71,*0.83
MI congress,-0.01,0.01,-0.03,*-0.4,*-0.56,*-0.89,*-1.09,0.09,*0.43,*0.84,*0.92
MI upper,0.01,-0.01,0.03,*-0.41,*-0.19,*-0.77,*-0.57,0.04,*-0.15,*-0.22,*-0.25
MI lower,0.03,0.04,0.02,*-0.05,-0.0,*-0.12,*0.39,*-0.24,*-0.46,*-0.54,*-0.54
NC congress,-0.03,0.01,-0.0,-0.1,0.04,-0.06,*-1.36,*0.33,*0.72,*0.91,*0.96
NC upper,-0.07,-0.05,-0.0,*-0.34,*-0.16,*-0.5,*-0.95,*-0.39,*-0.76,*-0.85,*-0.83
NC lower,-0.01,-0.01,0.02,-0.05,-0.02,*-0.11,*-0.78,*-0.2,*-0.49,*-0.76,*-0.84
NY congress,,,,,,,,,,,
NY upper,0.01,-0.0,0.01,*0.25,*0.45,*0.78,*3.06,*-0.4,*-0.56,*-0.55,*-0.54
NY lower,0.02,*-0.07,0.0,*0.07,*0.07,*0.21,*-0.61,*-0.24,*-0.4,*-0.6,*-0.96
OH congress,-0.02,-0.1,-0.08,*0.38,*1.48,*1.96,*-0.2,0.05,*0.47,*0.82,*0.89
OH upper,-0.0,0.01,-0.04,*-0.38,*-0.15,*-0.48,*1.11,*0.49,*0.81,*0.72,*0.64
OH lower,-0.01,-0.03,0.02,-0.05,*-0.08,*-0.22,*-0.73,*-0.12,*-0.08,*-0.2,*-0.18
WI congress,0.09,0.07,0.02,*-1.13,*-0.47,*-1.73,*-0.5,*2.68,*5.5,*5.92,*5.87
WI upper,-0.0,0.04,-0.01,-0.02,*-0.09,0.04,*-0.71,*0.8,*1.53,*1.75,*1.75
WI lower,-0.02,-0.04,-0.01,*0.11,*0.05,*0.18,*0.71,*0.24,*0.47,*0.45,*0.49
AVERAGE,-0.0,-0.0,-0.01,-0.07,0.01,-0.04,0.02,0.15,0.41,0.47,0.46
