,base1,pop_minus,pop_plus,distpair,ust,distpair_ust,reversible,county25,county50,county75,county100
FL congress,-0.0,-0.0,-0.0,*0.01,*0.0,*0.01,*0.03,*-0.02,*-0.02,*-0.02,*-0.02
FL upper,-0.0,0.0,-0.0,*0.0,0.0,*0.0,*0.01,*-0.0,-0.0,*-0.0,*-0.0
FL lower,-0.0,-0.0,-0.0,-0.0,0.0,0.0,*-0.01,*0.0,*0.0,*0.0,*-0.0
IL congress,-0.0,0.0,0.0,*-0.0,-0.0,*-0.0,*0.0,*0.0,*0.01,*0.01,*0.01
IL upper,0.0,0.0,-0.0,0.0,*-0.0,*-0.0,*-0.01,0.0,-0.0,*0.0,*0.0
IL lower,-0.0,-0.0,-0.0,0.0,*-0.0,-0.0,*0.01,*0.0,*0.0,*0.0,*0.0
MI congress,0.0,-0.0,-0.0,*-0.0,*-0.0,*-0.01,*-0.02,*0.0,*0.01,*0.02,*0.02
MI upper,0.0,0.0,0.0,*-0.0,-0.0,*-0.0,-0.0,-0.0,*-0.0,*-0.0,*-0.0
MI lower,0.0,0.0,-0.0,-0.0,0.0,-0.0,*-0.0,*-0.0,*-0.0,*-0.0,*-0.0
NC congress,-0.0,-0.0,0.0,*0.0,*0.0,*0.01,*-0.03,*0.0,*0.01,*0.01,*0.01
NC upper,-0.0,-0.0,0.0,*-0.0,-0.0,*-0.0,*-0.01,*-0.01,*-0.01,*-0.01,*-0.01
NC lower,-0.0,-0.0,0.0,0.0,0.0,0.0,*-0.0,*-0.0,*-0.01,*-0.01,*-0.01
NY congress,-0.0,-0.0,-0.0,*-0.0,-0.0,*-0.01,*0.01,*0.0,*0.01,*0.01,*0.01
NY upper,-0.0,-0.0,-0.0,-0.0,-0.0,*-0.0,*0.0,*-0.0,*-0.01,*-0.01,*-0.01
NY lower,0.0,*-0.0,0.0,*-0.0,*-0.0,*-0.0,*-0.01,0.0,0.0,*-0.0,*-0.0
OH congress,-0.0,-0.0,-0.0,*0.0,*0.01,*0.01,*-0.02,-0.0,0.0,0.0,0.0
OH upper,0.0,-0.0,-0.0,0.0,*0.0,*0.0,*0.02,*0.0,*0.0,*0.0,*0.0
OH lower,-0.0,-0.0,0.0,*0.0,*0.0,*0.0,*-0.01,-0.0,0.0,-0.0,-0.0
WI congress,0.0,0.0,0.0,*-0.01,*-0.0,*-0.01,*-0.01,*0.02,*0.04,*0.04,*0.04
WI upper,0.0,0.0,-0.0,*0.0,*0.0,*0.01,*-0.0,-0.0,*0.01,*0.01,*0.01
WI lower,-0.0,*-0.0,0.0,*0.0,*0.0,*0.0,0.0,*-0.0,*-0.0,*-0.01,*-0.01
AVERAGE,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
