,base1,pop_minus,pop_plus,distpair,ust,distpair_ust,reversible,county25,county50,county75,county100
FL congress,0.03,*0.09,0.01,*-0.26,*-0.34,*-0.65,*-0.26,*0.17,*0.33,*0.28,*0.25
FL upper,-0.01,-0.04,0.03,*-0.18,*-0.11,*-0.39,-0.05,*0.2,*0.31,*0.23,0.05
FL lower,0.02,0.02,-0.0,*-0.22,*-0.15,*-0.41,*-0.62,*0.04,0.03,*0.07,*0.11
IL congress,-0.0,-0.03,0.06,-0.1,*0.15,-0.02,*0.3,*0.14,*0.41,*0.4,*0.42
IL upper,-0.0,0.01,0.01,*-0.16,*-0.08,*-0.25,*0.07,*0.07,*0.09,0.04,0.03
IL lower,-0.01,-0.01,-0.02,*-0.2,*-0.12,*-0.34,*0.57,*0.26,*0.46,*0.49,*0.46
MI congress,0.1,0.03,0.07,*-0.36,*-0.64,*-1.03,*-0.72,0.05,*-1.29,*-1.82,*-1.79
MI upper,0.05,0.09,-0.02,*-0.2,-0.13,*-0.53,*-0.63,*-1.38,*-4.02,*-4.98,*-5.24
MI lower,0.0,0.04,0.06,*-0.33,*-0.29,*-0.62,-0.08,*-0.54,*-1.05,*-1.29,*-1.34
NC congress,0.02,0.07,0.07,*-0.16,*-0.14,*-0.42,*0.71,*0.39,*0.53,*0.65,*0.62
NC upper,-0.03,0.01,0.02,*-0.44,*-0.37,*-0.81,0.04,*0.75,*1.53,*1.85,*1.87
NC lower,0.01,0.02,0.0,*-0.37,*-0.21,*-0.63,*-1.1,*0.67,*1.22,*1.48,*1.52
NY congress,-0.08,0.09,-0.05,*-0.38,*-0.27,*-0.67,*0.46,*0.12,*0.35,*0.4,*0.4
NY upper,-0.01,-0.04,-0.02,*-0.11,*-0.09,*-0.23,*-0.42,0.04,*0.19,*0.25,*0.25
NY lower,0.02,-0.01,0.0,*-0.26,*-0.2,*-0.47,*-1.59,*0.18,*0.33,*0.43,*0.68
OH congress,0.01,0.03,0.02,*-1.8,*-0.67,*-2.47,*2.25,*0.66,*2.66,*3.91,*4.14
OH upper,0.02,0.11,-0.05,*-1.0,*-1.52,*-2.44,*-1.28,*1.38,*1.99,*2.09,*2.11
OH lower,-0.03,-0.04,-0.04,*-0.2,*-0.19,*-0.55,*3.06,*0.23,*0.54,*0.69,*0.78
WI congress,0.11,-0.11,-0.03,*-1.18,*0.67,-0.3,*-0.74,*2.44,*4.84,*5.25,*5.13
WI upper,-0.08,-0.07,-0.06,*-0.28,*-0.28,*-0.49,*-0.49,*-0.19,*-0.69,*-0.64,*-0.69
WI lower,0.06,0.07,0.05,*0.13,0.08,*0.2,*0.48,*0.34,*0.55,*0.78,*1.2
AVERAGE,0.01,0.02,0.01,-0.38,-0.23,-0.64,-0.0,0.29,0.44,0.5,0.52
