,base1,pop_minus,pop_plus,distpair,ust,distpair_ust,reversible,county25,county50,county75,county100
FL congress,-794.79,-4826.37,-314.59,*248822.32,*175511.87,*491121.58,*483407.01,*-103919.48,*-116617.09,*-122180.34,*-123760.78
FL upper,2086.17,-3855.31,-3322.26,*159772.85,*107096.83,*303119.45,*185513.02,*-109151.06,*-145836.84,*-142578.62,*-144509.29
FL lower,*-2215.99,*5569.54,*-8306.26,*45508.39,*31087.1,*84981.7,*94004.25,*-28575.13,*-40767.31,*-42760.41,*-46368.1
IL congress,1474.97,-157.86,-64.29,*75163.26,*132617.2,*234300.8,*144111.82,*-81473.12,*-111104.73,*-88332.33,*-76737.86
IL upper,116.06,-1701.89,1081.3,*44594.88,*47957.52,*105205.64,*53497.88,*-6575.75,*-2755.53,*6150.96,*6470.64
IL lower,-290.48,*-1803.49,*932.46,*22039.6,*23353.17,*50287.4,*1312.64,*-8940.63,*-12881.25,*-11898.97,*-11873.12
MI congress,-839.16,-9906.76,1047.28,*140740.93,*266573.85,*496738.44,*248749.09,*-33667.15,-386.49,3509.07,-4030.7
MI upper,-1914.85,*65461.49,*-33977.24,*142821.68,*80744.76,*265961.17,*78087.22,*-68315.2,*-95543.26,*-106094.42,*-107054.96
MI lower,-678.76,-1745.54,*-3877.23,*38817.46,*30829.5,*79202.82,*163739.25,*-29083.65,*-52105.22,*-63094.27,*-64501.5
NC congress,-3868.75,-2722.32,1569.22,*93337.9,*111751.65,*236684.99,*58321.86,*-8444.97,*14069.53,*26521.86,*30199.56
NC upper,-312.79,*-2305.37,*1821.52,*37848.63,*31183.08,*76881.82,*42342.96,*-14173.79,*-25889.79,*-31391.47,*-32005.48
NC lower,27.84,*-1265.96,*865.72,*16098.78,*10856.24,*29865.07,*14586.2,*-9729.66,*-19119.15,*-25387.83,*-26425.15
NY congress,-2120.49,235.77,-536.25,*119799.01,*131973.96,*300646.05,*60588.3,*-125964.08,*-176648.22,*-182740.58,*-182154.97
NY upper,-1169.11,*-3495.02,722.84,*73525.36,*69565.64,*159984.45,*118032.81,*-15985.54,*-13248.96,-1092.23,*5768.5
NY lower,-605.8,*-2891.06,*2987.3,*42301.63,*32699.31,*83216.01,*47334.76,*-27564.48,*-44167.83,*-49372.49,*-48057.27
OH congress,-4820.18,-4770.61,1065.28,*93306.63,*127938.73,*258138.26,*244347.08,*-35006.44,*-40004.33,*-31118.82,*-30698.95
OH upper,-1364.85,*-4890.1,*3527.37,*55207.65,*62331.58,*133922.87,*48184.28,*-27188.9,*-38168.4,*-38382.36,*-38268.95
OH lower,-145.01,*-966.35,*702.11,*23573.15,*20119.03,*48578.64,*47290.46,*-7618.46,*-12943.55,*-14396.05,*-14497.81
WI congress,-4775.9,-9342.87,-3066.48,*97983.66,*74698.91,*208377.04,*107729.08,*-19812.48,*-39262.35,*-37570.58,*-26327.37
WI upper,-111.84,-2376.4,1247.56,*39332.05,*46055.22,*95859.27,*45622.46,*5261.07,*16768.34,*20724.74,*22046.98
WI lower,85.39,*-1138.12,*661.05,*15842.85,*13775.51,*32724.39,*24359.49,*-7686.88,*-15051.99,*-17652.32,*-17699.32
AVERAGE,-1058.97,528.83,-1677.79,77449.46,77558.13,179799.9,110055.33,-36362.66,-46269.73,-45197.02,-44308.85
