,base1,pop_minus,pop_plus,distpair,ust,distpair_ust,reversible,county25,county50,county75,county100
FL congress,0.15,0.15,0.15,*-2.08,*-1.41,*-3.56,*-8.34,*2.87,*3.8,*3.85,*3.74
FL upper,-0.01,-0.09,0.07,*-1.0,*-0.35,*-1.55,*-3.51,*0.63,*1.51,*1.91,*2.17
FL lower,-0.02,-0.1,0.04,*-0.18,-0.06,*-0.35,*4.63,*-0.13,*-0.29,*-0.13,*0.26
IL congress,0.01,0.02,0.02,-0.03,-0.01,*-0.06,*-0.18,*0.17,*0.41,*0.44,*0.44
IL upper,0.01,-0.01,-0.09,0.06,*-0.36,*-0.26,*-1.76,*0.22,*0.59,*0.9,*1.08
IL lower,0.01,0.01,-0.02,-0.02,*-0.09,*-0.11,*0.29,*0.07,*0.14,*0.2,*0.22
MI congress,0.05,-0.03,0.08,*1.43,*2.05,*3.12,*4.42,-0.33,*-1.38,*-2.79,*-3.07
MI upper,-0.05,0.09,-0.16,*1.34,*0.61,*2.45,*1.28,-0.1,*0.64,*0.77,*0.79
MI lower,-0.07,-0.08,-0.05,0.1,-0.04,*0.25,*-1.59,*0.62,*1.26,*1.46,*1.39
NC congress,0.09,-0.05,-0.03,0.17,-0.42,-0.27,*4.18,*-0.84,*-1.83,*-2.28,*-2.44
NC upper,0.16,0.15,-0.0,*0.69,*0.28,*0.95,*2.49,*1.37,*2.73,*3.14,*3.11
NC lower,0.04,0.04,-0.02,-0.05,-0.05,-0.0,*1.45,*0.66,*1.57,*2.37,*2.61
NY congress,-0.01,-0.02,-0.0,*-1.29,*-0.83,*-2.33,*0.17,*0.73,*2.14,*2.37,*2.29
NY upper,-0.04,*-0.17,0.03,*-0.55,*-0.42,*-1.1,0.11,*-0.32,0.03,0.08,0.1
NY lower,0.0,*-0.04,0.01,*-0.33,*-0.22,*-0.63,*-1.43,*0.11,*0.22,*0.21,0.0
OH congress,0.09,0.31,0.23,*-2.15,*-4.79,*-7.02,*2.86,*1.33,*1.85,*1.39,*1.34
OH upper,0.02,0.04,0.1,*0.45,-0.08,0.15,*-3.53,-0.18,-0.11,*0.33,*0.55
OH lower,0.02,0.08,-0.06,*-0.24,-0.08,*-0.18,*2.4,*0.29,*0.25,*0.53,*0.56
WI congress,-0.21,-0.35,-0.11,*3.05,*1.27,*4.92,0.61,*-6.68,*-13.67,*-14.66,*-14.58
WI upper,0.01,-0.1,0.04,-0.08,0.09,*-0.49,*1.55,*-2.22,*-4.01,*-4.48,*-4.47
WI lower,0.03,0.11,0.03,*-0.51,*-0.26,*-0.85,*-1.73,*-0.45,*-0.88,*-0.72,*-0.62
AVERAGE,0.01,-0.0,0.01,-0.06,-0.25,-0.33,0.21,-0.1,-0.24,-0.24,-0.22
