,base1,pop_minus,pop_plus,distpair,ust,distpair_ust,reversible,county25,county50,county75,county100
FL congress,-0.01,-0.01,-0.0,*0.11,*0.07,*0.21,*0.09,-0.01,*-0.05,*-0.05,*-0.05
FL upper,-0.01,0.0,*-0.02,0.01,0.01,*0.03,*-0.09,*-0.02,*-0.03,*-0.02,*-0.04
FL lower,0.0,*0.01,-0.0,*0.01,*0.01,*0.02,*-0.01,*0.02,*0.01,-0.0,*0.01
IL congress,-0.0,-0.0,-0.0,0.0,-0.0,0.01,*0.02,-0.0,*0.03,*0.02,*0.01
IL upper,-0.0,0.0,-0.0,*0.01,*0.01,*0.02,-0.0,*-0.01,*-0.01,-0.0,*0.01
IL lower,-0.0,-0.0,0.0,*0.01,-0.0,*0.01,*0.08,*0.02,*0.06,*0.1,*0.12
MI congress,0.0,-0.01,-0.0,*-0.02,*-0.02,*-0.04,*0.05,0.01,*0.03,*0.04,*0.03
MI upper,-0.01,-0.0,-0.0,*0.08,0.0,*0.09,*0.15,*-0.04,*-0.07,*-0.08,*-0.08
MI lower,0.0,0.0,-0.0,*-0.01,*-0.01,*-0.01,*-0.01,*0.02,*0.04,*0.05,*0.05
NC congress,0.0,-0.0,0.0,-0.01,*0.03,0.02,*-0.16,0.0,*-0.04,*-0.06,*-0.06
NC upper,0.0,0.0,-0.0,*0.05,*0.04,*0.1,*0.38,*-0.04,*-0.11,*-0.15,*-0.16
NC lower,-0.0,0.0,0.0,*0.02,*0.01,*0.03,*-0.15,-0.0,*-0.02,*-0.05,*-0.06
NY congress,0.0,0.01,-0.0,*0.01,*-0.07,*-0.05,*-0.04,-0.01,*-0.02,*-0.03,*-0.04
NY upper,0.0,-0.0,0.0,0.0,*0.02,*0.03,*0.19,*-0.01,-0.0,0.0,0.0
NY lower,0.0,-0.0,0.0,*0.01,*0.01,*0.02,*0.08,*-0.02,*-0.02,*-0.04,*-0.07
OH congress,-0.0,-0.0,0.01,-0.02,*-0.04,*-0.08,*-0.4,*-0.1,*-0.23,*-0.24,*-0.24
OH upper,0.0,-0.0,0.01,*0.04,*0.02,*0.06,*-0.03,*-0.11,*-0.18,*-0.2,*-0.2
OH lower,-0.0,-0.0,-0.0,*-0.01,*-0.01,*-0.01,*-0.05,*0.01,*0.04,*0.06,*0.06
WI congress,-0.0,0.0,0.01,*0.07,-0.01,*0.04,*0.07,*-0.1,*-0.16,*-0.18,*-0.18
WI upper,-0.0,-0.0,0.0,*-0.02,0.0,-0.0,*-0.22,*0.1,*0.19,*0.2,*0.21
WI lower,0.0,0.0,-0.0,*0.03,*0.02,*0.05,-0.0,*-0.09,*-0.18,*-0.2,*-0.22
AVERAGE,-0.0,0.0,0.0,0.02,0.0,0.03,-0.0,-0.02,-0.03,-0.04,-0.04
